,Clean_Code,Clean_City,City_Count,Corrected_City,Score
2778,CH,GERMANTOWN,1,MAN,90
2779,CH,GHANGZHOU,1,HANGZHOU,94
2780,CH,GIUBIASCO,1,GIUBIASCO,72
2781,CH,GLAND,1,GLAND,77
2782,CH,GLATTBRUGG,2,BRUGGE,82
2783,CH,GOLDAU,1,GOLDAU,77
2784,CH,GOMMISWALD,1,WA,90
2785,CH,GOSSAU,1,GOSSAU,75
2786,CH,GRAND LANCY,1,GRAND LANCY,78
2787,CH,GRAND SACONNEX,2,GRAND SACONNEX,72
2788,CH,GRENZACHERSTRASS,1,GRENZACHERSTRASS,77
2789,CH,GRENZACHERSTRASSE,5,GRENZACHERSTRASSE,77
2790,CH,GRENZACHESTRASSE,8,GRENZACHESTRASSE,77
2791,CH,GSTAAD,2,GSTAAD,68
2792,CH,GVA,13,GVA,67
2793,CH,HAGENBUCH,3,AGEN,90
2794,CH,HAUS,1,SCHAFFHAUSEN,90
2795,CH,HAUS 01,6,HAUS 01,68
2796,CH,HEERBRUGG,1,BRUGGE,82
2797,CH,HINTERFINGEN,1,HINTERFINGEN,68
2798,CH,HOLZHAEUSERN,1,HO,90
2799,CH,HOMBRECHTIKON,1,HO,90
2800,CH,HORW,7,HO,90
2801,CH,HUNZENSCHWIL,4,HUN,90
2802,CH,INDIANAPOLIS,1,INDIANAPOLIS,100
2803,CH,ITIGEN,3,CAPHAITIEN,82
2804,CH,ITINGEN,118,ITINGEN,77
2805,CH,JIANG HIGHTECK,1,JIAN,90
2806,CH,KAISERAUGST,366,KAISERAUGST,75
2807,CH,KAISERAUSGT,3,KAISERAUSGT,72
2808,CH,KAISTEN,1,KAISTEN,77
2809,CH,KASIERAGUST,3,KASIERAGUST,75
2810,CH,KASSEL,1,KASSEL,100
2811,CH,KISSLEGG,1,KISSLEGG,68
2812,CH,KLEINDOETTINGEN,1,KLEINDOETTINGEN,80
2813,CH,KLOTEN,2,KLOTEN,77
2814,CH,KRIENS,1,KRIENS,77
2815,CH,LA CHAUX DE FOND,1,25 DE MAYO,86
2816,CH,LA CHAUX DE FONDS,8,25 DE MAYO,86
2817,CH,LA CHAUXDEFONDS,3,LA PAZ,86
2818,CH,LA CONVERSION,1,SION,90
2819,CH,LACARNO,2,LASCANO,86
2820,CH,LANGENTHAL,1,GENT,90
2821,CH,LAUSANNE,397,LAUSANNE,100
2822,CH,LAUSSANE,1,SAN,90
2823,CH,LE LOCLE,2,LE LOCLE,68
2824,CH,LENZBURG,1,OLDENBURG,82
2825,CH,LETIT LANCE,1,LETIT LANCE,72
2826,CH,LIESBERG,1,COLESBERG,82
2827,CH,LIESTAL,1,LIESTAL,100
2828,CH,LIGORNETTO,141,LIGORNETTO,75
2829,CH,LOCARNO,4,LOCARNO,77
2830,CH,LORIENT,1,LORIENT,100
2831,CH,LOURES,1,FLORES,83
2832,CH,LUCERNE,5,LUCERNE,77
2833,CH,LUGANO,54,LUGANO,100
2834,CH,LUGANOPAZZALLO,2,LUGA,90
2835,CH,LUINS,1,LUINS,80
2836,CH,LUSANNE,1,LAUSANNE,93
2837,CH,LUZERN,11,LUZERN,100
2838,CH,LYON,1,LYON,100
2839,CH,MACULSANTIAGO,1,ACU,90
2840,CH,MANCHESTER,5,MANCHESTER,100
2841,CH,MANNHEIM,1,MANNHEIM,100
2842,CH,MARLY,2,MARY,89
2843,CH,MARSTA,1,SANTA MARTA,82
2844,CH,MARTIGNY,4,MARTIGNY,77
2845,CH,MAUR,1,MAUR,80
2846,CH,MELIDE,1,MELIDE,75
2847,CH,MERYIN,4,GUAYARAMERIN,82
2848,CH,MEYRIN,163078,MEYRIN,75
2849,CH,MEYRIN GENEVA,28,GENEVA,90
2850,CH,MEYRINGENEVA,1,GENEVA,90
2851,CH,MITLODI,2,MITLODI,73
2852,CH,MITLOEDI,1,MITLOEDI,72
2853,CH,MONTHEY,18,MONTHEY,80
2854,CH,MONTHEY WALLIS,89,WA,90
2855,CH,MONTHEYVALAIS,7,LAI,90
2856,CH,MONTHY,1,MONTHY,71
2857,CH,MONTREUX,8,MONTREUX,75
2858,CH,MORGES,4,MORGES,77
2859,CH,MOUTIER,1,MOUTIER,71
2860,CH,MUNSTERLINGEN,1,MUNSTER,90
2861,CH,MURG,1,MURG,77
2862,CH,MURI,1,MURIAE,90
2863,CH,MURREN,1,MURREN,77
2864,CH,MURTEN,1,MURTEN,77
2865,CH,MUTENZ,2,MUTENZ,68
2866,CH,MUTTENS,2,MUTTENS,71
2867,CH,MUTTENZ,65,MUTTENZ,68
2868,CH,MUTTZEN,2,MUTTZEN,68
2869,CH,MYRIN,1,MYRIN,73
2870,CH,NENDELN,1,ENDE,90
2871,CH,NEUHAUS,1,NEUHAUS,68
2872,CH,NIEDEROENZ,2,NIEDEROENZ,72
2873,CH,NIEDERONZ,1,NIEDERONZ,72
2874,CH,NIEDERWANGEN,1,WA,90
2875,CH,NIEDERWENINGEN,1,NIEDERWENINGEN,75
2876,CH,NOVAZZANO,1,NOVAZZANO,72
2877,CH,NUTLEY,1,NUTLEY,67
2878,CH,NYON,10,MANYONI,90
2879,CH,OBERENTFELDEN,1,OB,90
2880,CH,OBERSCHLEIBEIM,1,OB,90
2881,CH,OFTRINGEN,2,OFTRINGEN,78
2882,CH,OLTEN,2,TOLTEN,91
2883,CH,OPFIKHON,1,HO,90
2884,CH,OPFIKON,3,OPFIKON,68
2885,CH,OPLAN LES QUATES,1,LES CAYES,86
2886,CH,ORBE,1,FORBES,90
2887,CH,ORVIN,1,ORVIN,80
2888,CH,PETIT LANCE,4,PETIT LANCE,74
2889,CH,PETIT LANCY,9,PETIT LANCY,74
2890,CH,PETITLANCE,3,PETITLANCE,78
2891,CH,PETITLANCY,14,PETITLANCY,78
2892,CH,PETTILANCY,1,PETTILANCY,78
2893,CH,PFAFFIKON,1,PFAFFIKON,68
2894,CH,PLAN LES OUATES,18,LES CAYES,86
2895,CH,PLAN LES QUATES,3,LES CAYES,86
2896,CH,PLANLESOUATES,10,PLANLESOUATES,72
2897,CH,PRANGNIS  NYON,2,NIS,90
2898,CH,PRATTELN,7,PRATTELN,71
2899,CH,PREVERENGES,1,ENGELS,82
2900,CH,PRILLY,10,PRILLY,71
2901,CH,PROVIDENCIA,156,PROVIDENIYA,91
2902,CH,PUENTE ALTO,1,PUENTE ALTO,80
2903,CH,PUNTA ARENAS,1,PUNTA ARENAS,100
2904,CH,RAETERSCHEN,1,RAETERSCHEN,72
2905,CH,RAPPERSWIL SG,1,RAPPERSWIL SG,68
2906,CH,REGENSBURG,1,REGENSBURG,100
2907,CH,REGENSDORF,4,REGENSDORF,70
2908,CH,REINACH,184,REINACH,77
2909,CH,REINACH BL,2,REINACH BL,75
2910,CH,RENENS,5,RENNES,83
2911,CH,RIEHEN,1,RIEHEN,77
2912,CH,ROMANELSURMORGE,1,ROMA,90
2913,CH,ROTKREUZ,3,ROTKREUZ,68
2914,CH,SAFNERN,4,SAFNERN,77
2915,CH,SAINT AUBIN,1,SAINT AUBIN,70
2916,CH,SAINT GALLEN,8,SAINT GALLEN,100
2917,CH,SAINT PRIEST,1,SAINT PRIEST,73
2918,CH,SAINTECROIX,1,SAINTECROIX,77
2919,CH,SAINTPREX,1,SAINTPREX,71
2920,CH,SAINTPRIEST,1,SAINTPRIEST,77
2921,CH,SAN DIEGO,1,SAN DIEGO,100
2922,CH,SANTIAGO,300,SANTIAGO,100
2923,CH,SANTIAGO DE CHILE,57,SANTIAGO,90
2924,CH,SANTIGO,1,SANTIAGO,93
2925,CH,SCHACHEN,16,SHACHE,86
2926,CH,SCHACHENLU,1,SCHACHENLU,75
2927,CH,SCHAFFAHAUSEN,1,SCHAFFHAUSEN,96
2928,CH,SCHAFFHAUSEN,10,SCHAFFHAUSEN,100
2929,CH,SCHLIEREN,36,SCHLIEREN,77
2930,CH,SCHWABACH,1,WA,90
2931,CH,SCHWEIZERHALLE,1,SCHWEIZERHALLE,72
2932,CH,SEEDORF,1,SEEDORF,71
2933,CH,SELZACH,1,SELZACH,68
2934,CH,SEVELEN,1,SEVELEN,71
2935,CH,SHANGAI,1,SHANGHAI,93
2936,CH,SHANGHAI,42,SHANGHAI,100
2937,CH,SHENZHEN,1,SHENZHEN,100
2938,CH,SINS,1,BIRYUSINSK,90
2939,CH,SION,16,SION,100
2940,CH,SISSELN,21,SISSELN,71
2941,CH,SODERTALJE,1,SODERTALJE,68
2942,CH,SOLOTHURN,1,SOLOTHURN,100
2943,CH,SPREITENBACH,1,SPREITENBACH,76
2944,CH,ST GALLEN,115,GALLE,90
2945,CH,ST MORITZ,1,ST MORITZ,68
2946,CH,ST PREX,1,FORT ST JOHN,86
2947,CH,STABIO,1,STABIO,75
2948,CH,STANS  DALLENWIL,1,STANS,90
2949,CH,STANSDALLENWILL,1,STANS,90
2950,CH,STEIN,17,STEINBACH,90
2951,CH,STGALLEN,28,GALLE,90
2952,CH,STRASBOURG,1,STRASBOURG,100
2953,CH,SWITERZLAND,1,SWITERZLAND,77
2954,CH,SWITZERLAND,10,SWITZERLAND,77
2955,CH,TAGELSWANGEN,1,WA,90
2956,CH,TEMUCO,1,TEMUCO,100
2957,CH,TEUFEN,5,TEUFEN,80
2958,CH,THONEX,1,HO,90
2959,CH,THOUSAND OAKS,1,HO,90
2960,CH,ULM,1,ULM,100
2961,CH,UPPSALA,1,UPPSALA,100
2962,CH,USTER,3,MUNSTER,83
2963,CH,UTTWIL,1,UTTWIL,72
2964,CH,VADUZ,3,VADUZ,100
2965,CH,VALDIVIA,45,VALDIVIA,100
